"url","path","status","bytes","docs_path","static_path","note"
"/gdpr/gdprscript.js?buildTime=1234","/gdpr/gdprscript.js","downloaded","19678","docs/gdpr/gdprscript.js","site-src/static/gdpr/gdprscript.js",""
"/media/images/dall-e-2024-05-29-18-42-46-a-17th-century-style-pencil-sketch-of-a-black-and-white-abacus-with-everything-in-white-except-for-the-outlines-and-thin-shadows-in-black-the-sketch-orig.webp","/media/images/dall-e-2024-05-29-18-42-46-a-17th-century-style-pencil-sketch-of-a-black-and-white-abacus-with-everything-in-white-except-for-the-outlines-and-thin-shadows-in-black-the-sketch-orig.webp","failed","0","","","The remote server returned an error: (404) Not Found."
"/media/images/dall-e-2024-05-29-19-29-58-a-minimalistic-black-and-white-pencil-sketch-in-the-17th-century-style-of-gerard-van-gutschoven-depicting-a-conductor-standing-above-a-group-of-peopl-orig.webp","/media/images/dall-e-2024-05-29-19-29-58-a-minimalistic-black-and-white-pencil-sketch-in-the-17th-century-style-of-gerard-van-gutschoven-depicting-a-conductor-standing-above-a-group-of-peopl-orig.webp","failed","0","","","The remote server returned an error: (404) Not Found."
"/media/images/dall-e-2024-05-29-20-55-18-a-minimalistic-black-and-white-pencil-sketch-in-the-style-of-gerard-van-gutschoven-the-sketch-shows-three-interconnected-train-carts-going-horizontal-orig.webp","/media/images/dall-e-2024-05-29-20-55-18-a-minimalistic-black-and-white-pencil-sketch-in-the-style-of-gerard-van-gutschoven-the-sketch-shows-three-interconnected-train-carts-going-horizontal-orig.webp","failed","0","","","The remote server returned an error: (404) Not Found."
"/uploads/9/1/6/0/91600416/1477332210.png","/uploads/9/1/6/0/91600416/1477332210.png","downloaded","22780","docs/uploads/9/1/6/0/91600416/1477332210.png","site-src/static/uploads/9/1/6/0/91600416/1477332210.png",""
"/uploads/9/1/6/0/91600416/editor/174247602451066067.png?1750940074","/uploads/9/1/6/0/91600416/editor/174247602451066067.png","downloaded","6829","docs/uploads/9/1/6/0/91600416/editor/174247602451066067.png","site-src/static/uploads/9/1/6/0/91600416/editor/174247602451066067.png",""
"/uploads/9/1/6/0/91600416/editor/235236364n-taru-hirvonen-circle.png?1750755413","/uploads/9/1/6/0/91600416/editor/235236364n-taru-hirvonen-circle.png","downloaded","32008","docs/uploads/9/1/6/0/91600416/editor/235236364n-taru-hirvonen-circle.png","site-src/static/uploads/9/1/6/0/91600416/editor/235236364n-taru-hirvonen-circle.png",""
"/uploads/9/1/6/0/91600416/editor/descartes.png?1510924932","/uploads/9/1/6/0/91600416/editor/descartes.png","downloaded","76559","docs/uploads/9/1/6/0/91600416/editor/descartes.png","site-src/static/uploads/9/1/6/0/91600416/editor/descartes.png",""
"/uploads/9/1/6/0/91600416/editor/descartes-reflex.jpeg?1716776295","/uploads/9/1/6/0/91600416/editor/descartes-reflex.jpeg","downloaded","14234","docs/uploads/9/1/6/0/91600416/editor/descartes-reflex.jpeg","site-src/static/uploads/9/1/6/0/91600416/editor/descartes-reflex.jpeg",""
"/uploads/9/1/6/0/91600416/editor/johannes.png?1729177782","/uploads/9/1/6/0/91600416/editor/johannes.png","downloaded","13545","docs/uploads/9/1/6/0/91600416/editor/johannes.png","site-src/static/uploads/9/1/6/0/91600416/editor/johannes.png",""
"/uploads/9/1/6/0/91600416/editor/picture2.png?1733484665","/uploads/9/1/6/0/91600416/editor/picture2.png","downloaded","12790","docs/uploads/9/1/6/0/91600416/editor/picture2.png","site-src/static/uploads/9/1/6/0/91600416/editor/picture2.png",""
"/uploads/9/1/6/0/91600416/editor/picture2_2.png?1750755406","/uploads/9/1/6/0/91600416/editor/picture2_2.png","downloaded","21698","docs/uploads/9/1/6/0/91600416/editor/picture2_2.png","site-src/static/uploads/9/1/6/0/91600416/editor/picture2_2.png",""
"/uploads/9/1/6/0/91600416/editor/till.png?1729165844","/uploads/9/1/6/0/91600416/editor/till.png","downloaded","12837","docs/uploads/9/1/6/0/91600416/editor/till.png","site-src/static/uploads/9/1/6/0/91600416/editor/till.png",""
"/uploads/9/1/6/0/91600416/published/174247602451066067-8.png?1744132209","/uploads/9/1/6/0/91600416/published/174247602451066067-8.png","downloaded","44038","docs/uploads/9/1/6/0/91600416/published/174247602451066067-8.png","site-src/static/uploads/9/1/6/0/91600416/published/174247602451066067-8.png",""
"/uploads/9/1/6/0/91600416/published/17515524289209725-1.png?1751553457","/uploads/9/1/6/0/91600416/published/17515524289209725-1.png","downloaded","352694","docs/uploads/9/1/6/0/91600416/published/17515524289209725-1.png","site-src/static/uploads/9/1/6/0/91600416/published/17515524289209725-1.png",""
"/uploads/9/1/6/0/91600416/published/alius.png?1744132136","/uploads/9/1/6/0/91600416/published/alius.png","downloaded","14278","docs/uploads/9/1/6/0/91600416/published/alius.png","site-src/static/uploads/9/1/6/0/91600416/published/alius.png",""
"/uploads/9/1/6/0/91600416/published/anestis.png?1757946281","/uploads/9/1/6/0/91600416/published/anestis.png","downloaded","23402","docs/uploads/9/1/6/0/91600416/published/anestis.png","site-src/static/uploads/9/1/6/0/91600416/published/anestis.png",""
"/uploads/9/1/6/0/91600416/published/attendees-orig.png?1750948911","/uploads/9/1/6/0/91600416/published/attendees-orig.png","downloaded","384977","docs/uploads/9/1/6/0/91600416/published/attendees-orig.png","site-src/static/uploads/9/1/6/0/91600416/published/attendees-orig.png",""
"/uploads/9/1/6/0/91600416/published/bigna.png?1729253361","/uploads/9/1/6/0/91600416/published/bigna.png","downloaded","24108","docs/uploads/9/1/6/0/91600416/published/bigna.png","site-src/static/uploads/9/1/6/0/91600416/published/bigna.png",""
"/uploads/9/1/6/0/91600416/published/brain-processes-in-a-mindless-machine-with-its-hand-in-a-fire-the-action-of-the-fire-w640.jpg?1717012868","/uploads/9/1/6/0/91600416/published/brain-processes-in-a-mindless-machine-with-its-hand-in-a-fire-the-action-of-the-fire-w640.jpg","downloaded","11194","docs/uploads/9/1/6/0/91600416/published/brain-processes-in-a-mindless-machine-with-its-hand-in-a-fire-the-action-of-the-fire-w640.jpg","site-src/static/uploads/9/1/6/0/91600416/published/brain-processes-in-a-mindless-machine-with-its-hand-in-a-fire-the-action-of-the-fire-w640.jpg",""
"/uploads/9/1/6/0/91600416/published/buchborn-tobias.jpg?1729011587","/uploads/9/1/6/0/91600416/published/buchborn-tobias.jpg","downloaded","3453","docs/uploads/9/1/6/0/91600416/published/buchborn-tobias.jpg","site-src/static/uploads/9/1/6/0/91600416/published/buchborn-tobias.jpg",""
"/uploads/9/1/6/0/91600416/published/complexity-asc.jpg?1731108409","/uploads/9/1/6/0/91600416/published/complexity-asc.jpg","downloaded","19977","docs/uploads/9/1/6/0/91600416/published/complexity-asc.jpg","site-src/static/uploads/9/1/6/0/91600416/published/complexity-asc.jpg",""
"/uploads/9/1/6/0/91600416/published/davidlobser-modified.png?1736508169","/uploads/9/1/6/0/91600416/published/davidlobser-modified.png","downloaded","15032","docs/uploads/9/1/6/0/91600416/published/davidlobser-modified.png","site-src/static/uploads/9/1/6/0/91600416/published/davidlobser-modified.png",""
"/uploads/9/1/6/0/91600416/published/dr-aviva-berkovich-ohana2-300x300.jpg?1729011979","/uploads/9/1/6/0/91600416/published/dr-aviva-berkovich-ohana2-300x300.jpg","downloaded","6935","docs/uploads/9/1/6/0/91600416/published/dr-aviva-berkovich-ohana2-300x300.jpg","site-src/static/uploads/9/1/6/0/91600416/published/dr-aviva-berkovich-ohana2-300x300.jpg",""
"/uploads/9/1/6/0/91600416/published/eirini-ketzitzidou-argyri.jpeg?1729613973","/uploads/9/1/6/0/91600416/published/eirini-ketzitzidou-argyri.jpeg","downloaded","7129","docs/uploads/9/1/6/0/91600416/published/eirini-ketzitzidou-argyri.jpeg","site-src/static/uploads/9/1/6/0/91600416/published/eirini-ketzitzidou-argyri.jpeg",""
"/uploads/9/1/6/0/91600416/published/george.png?1742482581","/uploads/9/1/6/0/91600416/published/george.png","downloaded","28054","docs/uploads/9/1/6/0/91600416/published/george.png","site-src/static/uploads/9/1/6/0/91600416/published/george.png",""
"/uploads/9/1/6/0/91600416/published/gomez.png?1734011190","/uploads/9/1/6/0/91600416/published/gomez.png","downloaded","22070","docs/uploads/9/1/6/0/91600416/published/gomez.png","site-src/static/uploads/9/1/6/0/91600416/published/gomez.png",""
"/uploads/9/1/6/0/91600416/published/hierarchical.gif?1742991737","/uploads/9/1/6/0/91600416/published/hierarchical.gif","downloaded","3199837","docs/uploads/9/1/6/0/91600416/published/hierarchical.gif","site-src/static/uploads/9/1/6/0/91600416/published/hierarchical.gif",""
"/uploads/9/1/6/0/91600416/published/identity-picture-2-1.jpg?1749377420","/uploads/9/1/6/0/91600416/published/identity-picture-2-1.jpg","downloaded","6492","docs/uploads/9/1/6/0/91600416/published/identity-picture-2-1.jpg","site-src/static/uploads/9/1/6/0/91600416/published/identity-picture-2-1.jpg",""
